No.,企業名,カテゴリ,運営会社,都道府県,住所詳細,担当部署,代表電話,メールアドレス,公式URL,規模・店舗数,主要サービス,営業状況,PRTIMES掲載実績,収集状況,備考
105,ナリス化粧品,化粧品メーカー,株式会社ナリス化粧品,,大阪府大阪市福島区海老江1-11-17,マーケティング・広報部,06-6459-7700,フォームより,https://www.naris.co.jp/,直販・通販,スキンケア・エステ連携,営業中,✓,収集済み,PR有
106,マンダム,化粧品メーカー,株式会社マンダム,,大阪府大阪市中央区十二軒町5-12,マーケティング・広報部,06-4706-3100,フォームより,https://www.mandom.co.jp/,国内外展開,ギャツビー・ルシード等,営業中,✓,収集済み,PR積極・上場
107,アルビオン,化粧品メーカー,株式会社アルビオン,,東京都中央区銀座1-9-1 銀座一丁目タワー,マーケティング・広報部,03-5569-2080,フォームより,https://www.albion.co.jp/,百貨店・直販,エクサージュ・アルビオン等,営業中,✓,収集済み,百貨店コスメ大手
108,BCLカンパニー,化粧品メーカー,株式会社BCLカンパニー,,東京都渋谷区初台1-46-3 初台センタービル4F,マーケティング・広報部,03-5358-7500,フォームより,https://www.bcl-company.jp/,ドラッグストア等,サボリーノ・ペリペラ等,営業中,✓,収集済み,PR積極・若年層向け
109,ドクターシーラボ,化粧品メーカー,株式会社ドクターシーラボ,,東京都港区南青山2-27-12,マーケティング・広報部,0120-37-1200,フォームより,https://www.ci-labo.com/,通販・直販,VC100エッセンス等医療系コスメ,営業中,✓,収集済み,PR積極
110,アンファー,化粧品・サプリメーカー,株式会社アンファー,,東京都港区西新橋3-12-1 ハーモニックB5F,マーケティング・広報部,03-5403-2013,フォームより,https://www.angfa.jp/,通販・直販,スカルプD・抜け毛ケア,営業中,✓,収集済み,PR非常に活発
111,ちふれ化粧品,化粧品メーカー,株式会社ちふれ化粧品,,東京都墨田区立花6-21-3,マーケティング・広報部,03-5628-0065,フォームより,https://www.chifure.co.jp/,ドラッグストア等,プチプラスキンケア・メイク,営業中,✓,収集済み,PR有
112,I-ne,化粧品・ヘアケアメーカー,株式会社I-ne,,大阪府大阪市北区芝田2-10-3,マーケティング・広報部,06-6367-0800,フォームより,https://i-ne.co.jp/,通販・ドラッグストア等,BOTANIST・YOLU等,営業中,✓,収集済み,PR非常に活発・上場
113,再春館製薬所,化粧品メーカー,株式会社再春館製薬所,,熊本県熊本市南区城南町舞原170,マーケティング・広報部,0120-818-932,フォームより,https://www.saishunkan.co.jp/,通販専業,どもほれぷしゅ等漢方系,営業中,,収集済み,通販専業・高齢層向け
114,日本コルマー,化粧品OEMメーカー,株式会社日本コルマー,,東京都港区芝大門1-9-9 芝大門ビルディング5F,マーケティング・広報部,03-3436-3621,フォームより,https://www.kolmar.co.jp/,OEM・製造,化粧品OEM製造,営業中,✓,収集済み,化粧品OEM最大手・PR有
115,日本色研事業,化粧品メーカー,日本色研事業株式会社,,大阪府大阪市中央区南船場4-12-11,マーケティング・広報部,06-6243-5551,フォームより,https://www.nihon-shikken.co.jp/,業務用,業務用化粧品・サロン向け,営業中,,収集済み,美容師・エステ向け
116,ナチュラルサイエンス,サロン専用化粧品,株式会社ナチュラルサイエンス,,東京都江東区有明3-7-26 有明フロンティアビルB棟4F,マーケティング・広報部,03-3529-3330,フォームより,https://www.naturalscience.co.jp/,業務用,サロン専用スキンケア・エステ用化粧品,営業中,✓,収集済み,PR有
117,ミルボン,ヘアケアメーカー（業務用）,株式会社ミルボン,,大阪府大阪市淀川区宮原3-4-30 ニッセイ新大阪ビル,マーケティング・広報部,06-6394-0200,フォームより,https://www.milbon.co.jp/,業務用,業務用ヘアカラー・ケア（サロン向け）,営業中,✓,収集済み,PR非常に活発・上場
118,ホーユー,ヘアカラーメーカー,株式会社ホーユー,,愛知県名古屋市東区東桜2-13-10,マーケティング・広報部,052-936-4181,フォームより,https://www.hoyu.co.jp/,業務用・一般向け,ビューティラボ・シエロ等,営業中,✓,収集済み,PR積極・上場
119,アジュバンコスメジャパン,サロン専用化粧品,株式会社アジュバンコスメジャパン,,東京都中央区日本橋箱崎町24-1 天王洲セントラルタワー5F,マーケティング・広報部,03-5614-0355,フォームより,https://adjuvancosme.co.jp/,業務用,サロン専用ヘアケア・スキンケア,営業中,✓,収集済み,PR有
120,ウエラ（ウエラジャパン）,ヘアケアメーカー,ウエラジャパン株式会社,,東京都港区三田2-11-5 三田タワーマルビル12F,マーケティング・広報部,03-5765-7111,フォームより,https://www.wella.com/ja-JP/,業務用,ウエラトーン・コレストン等,営業中,✓,収集済み,コティ傘下・PR有
121,シュワルツコフ（ヘンケル）,ヘアケアメーカー,ヘンケルジャパン株式会社,,東京都港区赤坂8-5-26 赤坂DSビル,マーケティング・広報部,03-5412-0391,フォームより,https://www.schwarzkopf-professional.com/,業務用・一般,シュワルツコフ・サロン向け,営業中,✓,収集済み,PR有
122,ロレアル プロフェッショナル,ヘアケアメーカー,日本ロレアル株式会社,,東京都新宿区西新宿3-7-1 新宿パークタワー30F,マーケティング・広報部,03-6911-8200,フォームより,https://www.lorealprofessionnel.jp/,業務用・一般,ケラスターゼ等サロン向け,営業中,✓,収集済み,PR非常に活発
123,AGコスメティクス（aGE）,ヘアカラーメーカー,株式会社AGコスメティクス,,東京都渋谷区渋谷2-12-19,マーケティング・広報部,03-3498-6080,フォームより,https://www.age-cosmetics.co.jp/,業務用,業務用ヘアカラー,営業中,,収集済み,要確認
124,HBC（ハリウッドビューティーカレッジ）,美容スクール,学校法人ハリウッド学園,,東京都新宿区西新宿1-26-2,マーケティング・広報部,03-3343-3411,フォームより,https://www.hollywood.ac.jp/,スクール,美容師・エステ等専門教育,活動中,,収集済み,美容教育老舗
125,ヤングジャンプホールディングス（美容FC）,FC美容サロン,株式会社ヤングジャンプホールディングス,,大阪府大阪市中央区南船場3-11-10,マーケティング・広報部,06-6267-7111,フォームより,https://yj-hd.co.jp/,FC展開,ヘアサロン・ネイル等FC,営業中,,収集済み,要確認
126,ルシードエル（マンダム）,化粧品・ヘアケア,株式会社マンダム,,大阪府大阪市中央区十二軒町5-12,マーケティング・広報部,06-4706-3100,フォームより,https://www.lucido-l.jp/,ドラッグストア等,女性向けヘアケア・スタイリング,営業中,✓,収集済み,マンダム子ブランド
127,Sparty（MEDULLA）,AI×美容（パーソナライズ）,株式会社Sparty,,東京都渋谷区神宮前6-23-4 桑野ビル5F,マーケティング・広報部,03-6434-9290,pr@sparty.com,https://corp.sparty.com/,通販・EC,AIパーソナライズシャンプー（MEDULLA）,営業中,✓,収集済み,PR非常に活発・注目スタートアップ
128,DROBE（ドローブ）,AI×スタイリング,株式会社DROBE,,東京都渋谷区恵比寿南2-8-8,マーケティング・広報部,03-6823-6655,フォームより,https://drobe.co.jp/,EC・サービス,AIパーソナルスタイリング,営業中,✓,収集済み,PR積極・AI活用
129,ホットペッパービューティー（リクルート）,IT×美容プラットフォーム,株式会社リクルート,,東京都千代田区丸の内1-9-2 グラントウキョウサウスタワー,マーケティング・広報部,03-6326-3000,フォームより,https://beauty.hotpepper.jp/,プラットフォーム,美容予約・集客プラットフォーム,営業中,✓,収集済み,国内最大美容プラットフォーム
130,ミニモ,IT×美容プラットフォーム,株式会社ミニモ,,東京都渋谷区桜丘町20-1 渋谷インフォスタワー9F,マーケティング・広報部,03-6861-7650,フォームより,https://minimodel.jp/,プラットフォーム,美容師とユーザーを繋ぐアプリ,営業中,✓,収集済み,PR有・C2C美容予約
131,サロンボード,IT×美容SaaS,株式会社リクルート,,東京都中央区銀座8-4-17,マーケティング・広報部,03-6670-2800,フォームより,https://salonboard.com/,SaaS,美容室向け予約・顧客管理システム,営業中,✓,収集済み,サロン業務DX
132,キレイパス,IT×美容サブスク,株式会社キレイパス,,東京都渋谷区渋谷2-14-13,マーケティング・広報部,03-5766-1900,フォームより,https://kireipass.jp/,サービス,美容施術サブスクリプション,営業中,✓,収集済み,PR有
133,ミラボ,AI×スキンケア診断,株式会社ミラボ,,東京都品川区西五反田7-21-11 第2TOCビル6F,マーケティング・広報部,03-5437-4060,フォームより,https://mirabo.co.jp/,BtoB・SaaS,AI肌診断システム,営業中,✓,収集済み,PR有・B2B美容AI
134,カラーズ（パーソナルカラーAI）,AI×パーソナルカラー,株式会社カラーズ,,東京都渋谷区神宮前6-12-17,マーケティング・広報部,03-5428-4000,フォームより,https://colors-app.co.jp/,アプリ・サービス,AIパーソナルカラー診断,営業中,✓,収集済み,PR有
135,freee（美容業向け）,IT×業務SaaS,freee株式会社,,東京都品川区大崎1-2-12 thinkpark tower,マーケティング・広報部,03-6630-3800,フォームより,https://www.freee.co.jp/,SaaS,クラウド会計（美容サロン向けプランあり）,営業中,✓,収集済み,PR非常に活発・上場
136,スマレジ,IT×POS,株式会社スマレジ,,大阪府大阪市北区梅田1-11-4 大阪梅田ツインタワーズノース27F,マーケティング・広報部,06-4800-2536,フォームより,https://smaregi.jp/,SaaS,クラウドPOSレジ（サロン対応）,営業中,✓,収集済み,PR積極・上場
137,カルテHD（旧CLIUS）,IT×カルテSaaS,株式会社Donuts,,東京都渋谷区神宮前6-19-20 原宿クロコービル4F,マーケティング・広報部,03-6455-4111,フォームより,https://karute.com/,SaaS,クリニック・サロン向け電子カルテ,営業中,✓,収集済み,PR有
138,Beauty×AI（リゾートトラスト系）,IT×美容,リゾートトラスト株式会社,,愛知県名古屋市中区丸の内3-18-6 松岡丸の内ビル,マーケティング・広報部,052-955-5311,フォームより,https://www.resorttrust.co.jp/,ホテル・スパ,スパ・美容施設運営,営業中,✓,収集済み,PR有・会員制リゾート
139,GMO RESEARCH（美容調査）,IT×マーケリサーチ,GMOリサーチ＆AI株式会社,,東京都渋谷区桜丘町26-1 セルリアンタワー9F,マーケティング・広報部,03-6415-9640,フォームより,https://gmo-research.ai/,リサーチ,美容・コスメ消費者調査,営業中,✓,収集済み,PR積極
140,ビスポーク（AIチャットボット）,AI×CX・美容向け,株式会社ビスポーク,,東京都渋谷区渋谷3-10-13 矢沢ビル4F,マーケティング・広報部,03-6450-1786,フォームより,https://bespoke.ai/,SaaS,AIチャットボット（美容EC・サロン活用）,営業中,✓,収集済み,PR有
141,ブレインパッド（AI×マーケ）,AI×データ分析,株式会社ブレインパッド,,東京都港区白金台3-2-10 白金台ビル,マーケティング・広報部,03-6721-7001,フォームより,https://www.brainpad.co.jp/,BtoB,AIデータ分析（美容・EC向け実績）,営業中,✓,収集済み,PR積極・上場
